date,opponent,goals_for,goals_against,tournament,home
2007-03-28,Scotland,2,0,UEFA Euro qualification,True
2007-06-02,Faroe Islands,2,1,UEFA Euro qualification,False
2007-06-06,Lithuania,2,0,UEFA Euro qualification,False
2007-08-22,Hungary,1,3,Friendly,False
2007-09-08,France,0,0,UEFA Euro qualification,True
2007-09-12,Ukraine,2,1,UEFA Euro qualification,False
2007-10-13,Georgia,2,0,UEFA Euro qualification,True
2007-10-17,South Africa,2,0,Friendly,True
2007-11-17,Scotland,2,1,UEFA Euro qualification,False
2007-11-21,Faroe Islands,3,1,UEFA Euro qualification,True
2008-02-06,Portugal,3,1,Friendly,False
2008-03-26,Spain,0,1,Friendly,False
2008-05-30,Belgium,3,1,Friendly,True
2008-06-09,Netherlands,0,3,UEFA Euro,False
2008-06-13,Romania,1,1,UEFA Euro,False
2008-06-17,France,2,0,UEFA Euro,False
2008-06-22,Spain,0,0,UEFA Euro,False
2008-08-20,Austria,2,2,Friendly,False
2008-09-06,Cyprus,2,1,FIFA World Cup qualification,False
2008-09-10,Georgia,2,0,FIFA World Cup qualification,True
2008-10-11,Bulgaria,0,0,FIFA World Cup qualification,False
2008-10-15,Montenegro,2,1,FIFA World Cup qualification,True
2008-11-19,Greece,1,1,Friendly,False
2009-02-10,Brazil,0,2,Friendly,False
2009-03-28,Montenegro,2,0,FIFA World Cup qualification,False
2009-04-01,Republic of Ireland,1,1,FIFA World Cup qualification,True
2009-06-06,Northern Ireland,3,0,Friendly,True
2009-06-10,New Zealand,4,3,Friendly,False
2009-06-15,United States,3,1,Confederations Cup,False
2009-06-18,Egypt,0,1,Confederations Cup,False
2009-06-21,Brazil,0,3,Confederations Cup,False
2009-08-12,Switzerland,0,0,Friendly,False
2009-09-05,Georgia,2,0,FIFA World Cup qualification,False
2009-09-09,Bulgaria,2,0,FIFA World Cup qualification,True
2009-10-10,Republic of Ireland,2,2,FIFA World Cup qualification,False
2009-10-14,Cyprus,3,2,FIFA World Cup qualification,True
2009-11-14,Netherlands,0,0,Friendly,True
2009-11-18,Sweden,1,0,Friendly,True
2010-03-03,Cameroon,0,0,Friendly,False
2010-06-03,Mexico,1,2,Friendly,False
2010-06-05,Switzerland,1,1,Friendly,False
2010-06-14,Paraguay,1,1,FIFA World Cup,False
2010-06-20,New Zealand,1,1,FIFA World Cup,False
2010-06-24,Slovakia,2,3,FIFA World Cup,False
2010-08-10,Ivory Coast,0,1,Friendly,False
2010-09-03,Estonia,2,1,UEFA Euro qualification,False
2010-09-07,Faroe Islands,5,0,UEFA Euro qualification,True
2010-10-08,Northern Ireland,0,0,UEFA Euro qualification,False
2010-10-12,Serbia,3,0,UEFA Euro qualification,True
2010-11-17,Romania,1,1,Friendly,False
2011-02-09,Germany,1,1,Friendly,False
2011-03-25,Slovenia,1,0,UEFA Euro qualification,False
2011-03-29,Ukraine,2,0,Friendly,False
2011-06-03,Estonia,3,0,UEFA Euro qualification,True
2011-06-07,Republic of Ireland,0,2,Friendly,False
2011-08-10,Spain,2,1,Friendly,True
2011-09-02,Faroe Islands,1,0,UEFA Euro qualification,False
2011-09-06,Slovenia,1,0,UEFA Euro qualification,True
2011-10-07,Serbia,1,1,UEFA Euro qualification,False
2011-10-11,Northern Ireland,3,0,UEFA Euro qualification,True
2011-11-11,Poland,2,0,Friendly,False
2011-11-15,Uruguay,0,1,Friendly,True
2012-02-29,United States,0,1,Friendly,True
2012-06-01,Russia,0,3,Friendly,False
2012-06-10,Spain,1,1,UEFA Euro,False
2012-06-14,Croatia,1,1,UEFA Euro,False
2012-06-18,Republic of Ireland,2,0,UEFA Euro,False
2012-06-24,England,0,0,UEFA Euro,False
2012-06-28,Germany,2,1,UEFA Euro,False
